province,province_code,city,city_code,area,area_code,zip
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Rajah Soliman Pob. (Bgy. 4),PH-AGN-1-68,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Salvacion,PH-AGN-1-69,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,San Ignacio Pob. (Bgy. 15),PH-AGN-1-70,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,San Mateo,PH-AGN-1-71,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,San Vicente,PH-AGN-1-72,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Santo Ni,PH-AGN-1-73,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Sikatuna Pob. (Bgy. 10),PH-AGN-1-74,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Silongan Pob. (Bgy. 5),PH-AGN-1-75,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Sumile,PH-AGN-1-76,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Sumilihon,PH-AGN-1-77,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Tagabaca,PH-AGN-1-78,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Taguibo,PH-AGN-1-79,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Taligaman,PH-AGN-1-80,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Tandang Sora Pob. (Bgy. 12),PH-AGN-1-81,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Tiniwisan,PH-AGN-1-82,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Tungao,PH-AGN-1-83,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Urduja Pob. (Bgy. 9),PH-AGN-1-84,8600
Agusan del Norte,PH-AGN,Butuan City,PH-AGN-1,Villa Kananga,PH-AGN-1-85,8600
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Antonio Luna,PH-AGN-2-0,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Bayabas,PH-AGN-2-1,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Bay-ang,PH-AGN-2-2,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Caasinan,PH-AGN-2-3,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Cabinet,PH-AGN-2-4,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Calamba,PH-AGN-2-5,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Calibunan,PH-AGN-2-6,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Comagascas,PH-AGN-2-7,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Concepcion,PH-AGN-2-8,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Del Pilar,PH-AGN-2-9,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Katugasan,PH-AGN-2-10,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Kauswagan,PH-AGN-2-11,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,La Union,PH-AGN-2-12,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Mabini,PH-AGN-2-13,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Mahaba,PH-AGN-2-14,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Poblacion 1,PH-AGN-2-15,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Poblacion 10,PH-AGN-2-16,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Poblacion 11,PH-AGN-2-17,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Poblacion 12,PH-AGN-2-18,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Poblacion 2,PH-AGN-2-19,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Poblacion 3,PH-AGN-2-20,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Poblacion 4,PH-AGN-2-21,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Poblacion 5,PH-AGN-2-22,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Poblacion 6,PH-AGN-2-23,8605
Agusan del Norte,PH-AGN,Cabadbaran City,PH-AGN-2,Poblacion 7,PH-AGN-2-24,8605
