state,country,city,zip
AL,Dale County,OZARK,36361
AL,Dale County,PINCKARD,36371
AL,Dallas County,MARION JUNCTION,36759
AL,Dallas County,MINTER,36761
AL,Dallas County,ORRVILLE,36767
AL,Dallas County,SAFFORD,36773
AL,Dallas County,SARDIS,36775
AL,Dallas County,SELMA,36701
AL,Dallas County,SELMA,36702
AL,Dallas County,TYLER,36785
AL,DeKalb County,ALBERTVILLE,35951
AL,DeKalb County,ATTALLA,35954
AL,DeKalb County,CROSSVILLE,35962
AL,DeKalb County,DAWSON,35963
AL,DeKalb County,FLAT ROCK,35966
AL,DeKalb County,FORT PAYNE,35968
AL,DeKalb County,FYFFE,35971
AL,DeKalb County,GERALDINE,35974
AL,DeKalb County,GROVEOAK,35975
AL,DeKalb County,HENAGAR,35978
AL,DeKalb County,HIGDON,35979
AL,DeKalb County,IDER,35981
AL,DeKalb County,PISGAH,35765
AL,DeKalb County,RAINSVILLE,35986
AL,DeKalb County,SECTION,35771
AL,DeKalb County,SYLVANIA,35988
AL,DeKalb County,VALLEY HEAD,35989
AL,Elmore County,COOSADA,36020
AL,Elmore County,ECLECTIC,36024
AL,Elmore County,ELMORE,36025
AL,Elmore County,KENT,36045
AL,Elmore County,MILLBROOK,36054
AL,Elmore County,TALLASSEE,36078
AL,Elmore County,WETUMPKA,36092
AL,Elmore County,WETUMPKA,36093
AL,Escambia County,ATMORE,36503
AL,Escambia County,ATMORE,36504
AL,Escambia County,BREWTON,36427
AL,Escambia County,FLOMATON,36441
AL,Escambia County,HUXFORD,36543
AL,Etowah County,BOAZ,35956
AL,Etowah County,EAST GADSDEN,35903
AL,Etowah County,GADSDEN,35902
AL,Etowah County,GADSDEN,35904
AL,Etowah County,GADSDEN,35906
AL,Etowah County,GALLANT,35972
AL,Etowah County,WALNUT GROVE,35990
AL,Fayette County,BANKSTON,35542
AL,Fayette County,BELK,35545
AL,Fayette County,BERRY,35546
AL,Fayette County,CARBON HILL,35549
AL,Fayette County,ELDRIDGE,35554
AL,Fayette County,FAYETTE,35555
AL,Fayette County,GLEN ALLEN,35559
AL,Fayette County,GUIN,35563
AL,Fayette County,KENNEDY,35574
AL,Fayette County,OAKMAN,35579
AL,Fayette County,WINFIELD,35594
AL,Franklin County,HALEYVILLE,35565
AL,Franklin County,HODGES,35571
AL,Franklin County,MOUNT HOPE,35651
AL,Franklin County,PHIL CAMPBELL,35581
AL,Franklin County,SPRUCE PINE,35585
AL,Franklin County,VINA,35593
AL,Geneva County,BELLWOOD,36313
AL,Geneva County,BLACK,36314
AL,Geneva County,DOTHAN,36305
AL,Geneva County,GENEVA,36340
AL,Geneva County,HARTFORD,36344
AL,Geneva County,MALVERN,36349
AL,Geneva County,SLOCOMB,36375
AL,Greene County,ALICEVILLE,35442
AL,Greene County,BOLIGEE,35443
AL,Greene County,CLINTON,35448
AL,Greene County,EUTAW,35462
AL,Greene County,FORKLAND,36740
AL,Greene County,FOSTERS,35463
AL,Greene County,GAINESVILLE,35464
AL,Greene County,KNOXVILLE,35469
AL,Greene County,RALPH,35480
AL,Greene County,WEST GREENE,35491
AL,Hale County,AKRON,35441
AL,Hale County,GALLION,36742
AL,Hale County,GREENSBORO,36744
AL,Hale County,MARION,36756
AL,Hale County,MOUNDVILLE,35474
AL,Hale County,NEWBERN,36765
AL,Hale County,SAWYERVILLE,36776
AL,Hale County,UNIONTOWN,36786
AL,Henry County,ABBEVILLE,36310
