countryName,countryArName,state_en_Name,state_Ar_Name,state_code,city_en_Name,city_Ar_Name,city_code
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Ash Shamli,الشملي,SA-HL-14
Saudi Arabia,المملكة العربية السعودية,Hail,حائل,SA-HL,Al Hait,الحائط,SA-HL-15
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Al Maniyah,المانعية,SA-EA-0
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Al Dughaimiyah,الدغيمية,SA-EA-1
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Al Rabiyah,الرابية,SA-EA-2
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Al Oyun,العيون,SA-EA-3
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Nisab,نصاب,SA-EA-4
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Baqiq,بقيق,SA-EA-5
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Uyun,العيون,SA-EA-6
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Udhaliyah,العضيلية,SA-EA-7
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Tarut,تاروت,SA-EA-8
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Tanjeeb,تناجيب,SA-EA-9
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Seihat,سيهات,SA-EA-10
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Sarar,صرار ,SA-EA-11
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Salwa,سلوى,KW-HA-10
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Safwa,صفوى,SA-EA-13
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Safanyah,سفانيه,SA-EA-14
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Ras Tanura,راس تنورة,SA-EA-15
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Ras Al Kheir,راس الخير,SA-EA-16
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Rahima,رحيمة,SA-EA-17
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Qaysoomah,قيسومه,SA-EA-18
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Qatif,القطيف,SA-EA-19
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Qariya Al Olaya,قرية العليا,SA-EA-20
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Qarah,جبل القارة ,SA-EA-21
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Othmanyah,العثمانية,SA-EA-22
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Ojam,عجم,SA-EA-23
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Noweirieh,النعيرية,SA-EA-24
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Nabiya,النابية,SA-EA-25
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Mulaija,مليجة,SA-EA-26
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Mubaraz,المبرز,SA-EA-27
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Khobar,الخبر,SA-EA-28
